Agenda,Day 1. Meta-analysis,Day 2. Tabular Data,Day 3. OO Programming and Workflows,Day 4. Geospatial Data,Day 5. Geospatial analysis and Algorithmic Approaches
8:15-8:30,"Feedback, questions, and discussion","Feedback, questions, and discussion","Feedback, questions, and discussion","Feedback, questions, and discussion","Feedback, questions, and discussion"
8:30-9:00,Metas and systematic reviews (Lortie),"Overview of Data models, esp the relational model (Schildhauer)","Lecture/Lab: Functions and modular code, intro to OO programming with a design pattern or two Activity: basic R functions","Intro to GIS - geospatial data concepts (Brun, Waser)",LAB: geospatial analysis (Wasser)
930-945,Break,Break,Break,Break,Break
9:45-11:00,Hands-on meta-analysis (Lortie),Data Modeling Exercise with Group projects (Jones),Exercise with group projects (Jones),Go from an Excel-like set of data to QGIS (Brun),LAB: geospatial analysis (Wasser)
11:00-12:00,Hands-on meta-analysis (Lortie),"SQL, PostgreSQL (via psql), and sqlite, Interfacing R and PostgreSQL (Jones)",Exercise with group projects (Jones),Basic spatial data analysis using Excel and Python (Jupyter Notebook)  (Brun),LAB: geospatial analysis (Wasser)
Noon-12:45,Lunch,Lunch,Lunch,Lunch,Lunch
12:30-1:30,LAB: Systematic reviews and meta-analysis (Lortie),Data semantics and annotation (Schildhauer),Workflow design activity (Group projects) (Jones),Publishing maps to the web,LECTURE: HD5f (Wasser)
1:30-2:00,Meta-presentations by groups,Emulating SQL with core R functions (Mecum),Testing and Continuous Integration for science,"Demo: Open Geospatial data (where, how, e.g., US Census)",LECTURE: Intro to RS (Wasser)
2:00-2:15,Break,Break,Break,Break,Break
2:15-5:00,Group Project,Group Project,Group Project,Group Project,Group Project
5:00-5:15,Adjourn at NCEAS,Adjourn at NCEAS,Adjourn at NCEAS,Adjourn at NCEAS,Adjourn at NCEAS
