author,year,Ne,Me,Se,Nc,Mc,Sc
Boner,1988,13,13.54,13.85,13,20.77,21.46
Boner,1989,20,15.70,13.10,20,22.70,16.47
Chudry,1987,12,21.30,13.10,12,39.70,12.90
Comis,1993,12,14.50,12.20,12,31.30,15.10
DeBenedictis,1994a,17,14.40,11.10,17,27.40,17.30
DeBenedictis,1994b,8,14.80,18.60,8,31.40,20.60
DeBenedictis,1995,13,15.70,16.80,13,29.60,18.90
Debelic,1986,12,29.83,15.95,12,48.08,15.08
Henriksen,1988,12,17.50,13.10,12,47.20,16.47
Konig,1987,12,12.00,14.60,12,26.20,12.30
Morton,1992,16,15.83,13.43,16,38.36,18.01
Novembre,1994f,24,15.42,8.35,24,28.46,13.84
Novembre,1994s,19,11.00,12.40,19,26.10,14.90
Oseid,1995,20,14.10,9.50,20,28.90,18.00
Roberts,1985,9,18.90,17.70,9,38.90,18.90
Shaw,1985,8,10.27,7.02,8,34.43,10.96
Todaro,1993,13,10.10,8.90,13,23.50,4.00
