Study,UniqueID,Authors,GPS,GPS/elevation,taxon,species,measure,cushion species,elevation,actual elevation,Rii,Var Rii,n
1,1,Anthelme et al. 2012,"00ᵒ28’S,78ᵒ09’W","0°28'22.52''S, 78°09'57.62''W",plant,Astragalus geminiflorus,presence,Azorella aretioides,low,4400,-1,0.05,1
1,2,Anthelme et al. 2012,"00ᵒ28’S,78ᵒ09’W","0°28'22.52''S, 78°09'57.62''W",plant,Azorella aretioides,presence,Azorella aretioides,low,4400,-1,0.05,1
1,3,Anthelme et al. 2012,"00ᵒ28’S,78ᵒ09’W","0°28'22.52''S, 78°09'57.62''W",plant,Baccharis caespitosa,presence,Azorella aretioides,low,4400,0.156756757,0.05,1
1,4,Anthelme et al. 2012,"00ᵒ28’S,78ᵒ09’W","0°28'22.52''S, 78°09'57.62''W",plant,Bartsia stricta,presence,Azorella aretioides,low,4400,0.068493151,0.534261705,28
1,5,Anthelme et al. 2012,"00ᵒ28’S,78ᵒ09’W","0°28'22.52''S, 78°09'57.62''W",plant,Bromus lanatus,presence,Azorella aretioides,low,4400,-0.459459459,0.318692252,41
1,6,Anthelme et al. 2012,"00ᵒ28’S,78ᵒ09’W","0°28'22.52''S, 78°09'57.62''W",plant,Carex tristicha,presence,Azorella aretioides,low,4400,-0.599247413,0.365317684,44
1,7,Anthelme et al. 2012,"00ᵒ28’S,78ᵒ09’W","0°28'22.52''S, 78°09'57.62''W",plant,Castilleja nubigena,presence,Azorella aretioides,low,4400,0,0.248370779,35
1,8,Anthelme et al. 2012,"00ᵒ28’S,78ᵒ09’W","0°28'22.52''S, 78°09'57.62''W",plant,Cerastium imbricatum,presence,Azorella aretioides,low,4400,-1,0.172915802,30
1,9,Anthelme et al. 2012,"00ᵒ28’S,78ᵒ09’W","0°28'22.52''S, 78°09'57.62''W",plant,Ephedra americana,presence,Azorella aretioides,low,4400,-0.384615385,0.134430727,2
1,10,Anthelme et al. 2012,"00ᵒ28’S,78ᵒ09’W","0°28'22.52''S, 78°09'57.62''W",plant,Erigeron ecuadoriensis,presence,Azorella aretioides,low,4400,0.637931034,0.05,1
1,11,Anthelme et al. 2012,"00ᵒ28’S,78ᵒ09’W","0°28'22.52''S, 78°09'57.62''W",plant,Gentiana sedifolia,presence,Azorella aretioides,low,4400,-0.068181818,0.05,1
1,12,Anthelme et al. 2012,"00ᵒ28’S,78ᵒ09’W","0°28'22.52''S, 78°09'57.62''W",plant,Gentianella rupicola,presence,Azorella aretioides,low,4400,1,0.05,1
1,13,Anthelme et al. 2012,"00ᵒ28’S,78ᵒ09’W","0°28'22.52''S, 78°09'57.62''W",plant,Geranium ecuadoriensis,presence,Azorella aretioides,low,4400,-1,0.05,1
