study,Reference,Case,Location ,Location2,coordinate 1,coordinate 2,Region,Climate,Mean annual precipitation (mm),MAP (2001-2009),NDVI aster,NDVI,Soilwet,part of the gradient,gradient 2,Study type,Performance estimator,Performance estimator2,SGH test?,Study mechanism?,suggested mechanism,Neighbor life-form1,Neighbor life-form2,Neighbor life-form3,Neighbor species,Target life-form1,Target life-form2,Target life-form3,Target life-form4,Target species,Target ontogenetic phase1,Target ontogenetic phase2,Balance interaction,OBS,Main Hypothesis or Question,data usable for Meta?,ask the authors?,DATA META,MEANc,MEANe,SDc,SDe,Nc,Ne,SEc,SEe,,lnRR,var lnRR,N medio,,,
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.01,"California, USA",,38°18'N,123°03'W,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,abundancy (density),abundance,no tested,somewhat,nutrient adittion,shrub,shrub ,wood,Lupinus chamissonis,herb (forb),forb,herb,non-wood,Claytonia perfoliata,all? (less seeds),several,positive,,"How do two shrubs with contrasting life-history influence abundance of dominant plant taxa, species richness and aboveground biomass of grasses and forbs, litter acumulation, nitrogen pools and mineralization rates?",YES,NA,YES,6.72,494,12.6,323.3,24,24,2.58,66,,4.2974,0.1653,24,,,
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.02,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,abundancy (density),abundance,,,,shrub,shrub ,wood,Ericameria ericoides,herb (forb),forb,herb,non-wood,Claytonia perfoliata,all? (less seeds),several,positive,,,YES,NA,YES,6.72,405,12.6,230.3,24,24,2.58,47,,4.0988,0.1609,24,,,
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.05,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,abundancy (density),abundance,,,,shrub,shrub ,wood,Lupinus chamissonis,herb (exotic grass),herb,herb,non-wood,Bromus diadruns,all? (less seeds),several,positive,,,YES,NA,YES,9.3,17.4,23.0,17.1,24,24,4.7,3.5,,0.6265,0.296,24,,,
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.06,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,abundancy (density),abundance,,,,shrub,shrub ,wood,Ericameria ericoides,herb (exotic grass),herb,herb,non-wood,Bromus diadruns,all? (less seeds),several,positive,,,YES,NA,YES,9.3,12.8,23.0,17.1,24,24,4.7,3.5,,0.3194,0.3303,24,,,
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.09,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,abundancy (density),abundance,,,,shrub,shrub ,wood,Lupinus chamissonis,herb (exotic grass),herb,herb,non-wood,Vulpia bromoides,all? (less seeds),several,negative,,,YES,NA,YES,40.7,2.33,39.7,17.0,24,24,8.09999999999999,3.48,,-2.8604,2.2707,24,,,
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.10,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,abundancy (density),abundance,,,,shrub,shrub ,wood,Ericameria ericoides,herb (exotic grass),herb,herb,non-wood,Vulpia bromoides,all? (less seeds),several,negative,,,YES,NA,YES,40.7,16.30,39.7,22.5,24,24,8.09999999999999,4.60,,-0.9151,0.1193,24,,,
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.13,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,abundancy (cover),abundance,,,,shrub,shrub ,wood,Lupinus chamissonis,moss,moss,moss,non-wood,"Syntrichia ruralis, Didymodon vinealis, Homalothecium arenarium",all?,several,neutral,,,YES,NA,YES,15.3,2.06,16.4,3.0,30,16,3,0.74,,-2.0051,0.1675,23,,,
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.14,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,abundancy (cover),abundance,,,,shrub,shrub ,wood,Ericameria ericoides,moss,moss,moss,non-wood,"Syntrichia ruralis, Didymodon vinealis, Homalothecium arenarium",all?,several,positive,,,YES,NA,YES,15.30,35.30,16.4,16.2,30,29,3,3.00,,0.836,0.0457,30,,,
10,"Forey E, Lortie CJ, Michalet R, 2009",10.01,"Aquitaine, France (north)",,45°26'N,01°08'W,temperate,temperate oceanic,750 (north),749,0.304,7.6,6102,foredune?,1,pattern,abundancy (density),abundance,partially supported,no,NA,grass,herb,non-wood,Elymus farctus,all (understory),several,several,several,all,all? (less seeds),several,positive,,"1) if there is positive association between dominnat and understory plants,2)SGH, 3)if the size of dominant species modify the degree of understory association, and 4)if the associational pattrens observed at neighborhood scale predict diversity at local and regional scales",YES,NA,YES,0.55,3.16,1.4,4.2,32,32,0.25,0.74,,1.7484,0.2603,32,,,
10,"Forey E, Lortie CJ, Michalet R, 2009",10.04,"Aquitaine, France (centre)",,44°44'N,01°14'W,temperate,temperate oceanic,1000 (centre),772,0.216,7.7,5353,foredune?,1,pattern,abundancy (density),abundance,,,,grass,herb,non-wood,Elymus farctus,all (understory),several,several,several,all,all? (less seeds),several,neutral,,,YES,NA,YES,1.19,2.5,2.6,3.7,32,32,0.46,0.66,,0.7423,0.2187,32,,,
