study,Reference,Case,Location ,Location2,coordinate 1,coordinate 2,Region,Climate,Mean annual precipitation (mm),MAP (2001-2009),NDVI aster,NDVI,Soilwet,part of the gradient,gradient 2,Study type,Performance estimator,Performance estimator2,SGH test?,Study mechanism?,suggested mechanism,Neighbor life-form1,Neighbor life-form2,Neighbor life-form3,Neighbor species,Target life-form1,Target life-form2,Target life-form3,Target life-form4,Target species,Target ontogenetic phase1,Target ontogenetic phase2,Balance interaction,OBS,Main Hypothesis or Question,data usable for Meta?,ask the authors?,DATA META,MEANc,MEANe,SDc,SDe,Nc,Ne,SEc,SEe,Effect Size (lnRR),Variance (lnRR),N medio,reescalonaA,reescalonaB
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.19,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,biomass (aboveground),growth,,,,shrub,shrub ,wood,Lupinus chamissonis,grass,grass,herb,non-wood,all,all? (less seeds),several,neutral,2000,,YES,NA,YES,1.81,3.1,1.05,2.99,14,14,0.28,0.8,0.5381,0.0905,14,1.29462046008441,2.58924092016882
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.20,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,biomass (aboveground),growth,,,,shrub,shrub ,wood,Ericameria ericoides,grass,grass,herb,non-wood,all,all? (less seeds),several,neutral,2000,,YES,NA,YES,1.81,2.66,1.05,2.47,14,14,0.28,0.66,0.385,0.0856,14,1.29491172799144,2.58982345598288
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.21,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,biomass (aboveground),growth,,,,shrub,shrub ,wood,Lupinus chamissonis,forb,forb,herb,non-wood,all,all? (less seeds),several,negative,2000,,YES,NA,YES,8.08,5,7.93,4.53,14,14,2.12,1.21,-0.48,0.1274,14,1.29242703441717,2.58485406883433
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.22,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,biomass (aboveground),growth,,,,shrub,shrub ,wood,Ericameria ericoides,forb,forb,herb,non-wood,all,all? (less seeds),several,negative,2000,,YES,NA,YES,8.08,3.9,7.93,5.84,14,14,2.12,1.56,-0.7284,0.229,14,1.2863876835285,2.57277536705701
6,"Forey E, Touzard B, Michalet R, 2010",6.33,France,,,,temperate,temperate oceanic,875 (average year),772,,7.7,5353,foredune,1,experimental,biomass (total),growth,,,,grass,herb,non-wood,Elymus farctus (dominant in the patch),grass,grass,herb,non-wood,Elymus farctus,"""young""",young,neutral,,,YES. the authors didn't provide biomass increment with neighbor but they sended by e-amil,YES,YES,0.57,1.18,0.81,0.99,15,14,0.21,0.27,0.7276,0.1851,14,1.28899720620579,2.57799441241158
6,"Forey E, Touzard B, Michalet R, 2010",6.34,France,,,,temperate,temperate oceanic,875 (average year),772,,7.7,5353,foredune,1,experimental,biomass (total),growth,,,,grass,herb,non-wood,Elymus farctus (dominant in the patch),grass,grass,herb,non-wood,Ammophila arenaria,"""young""",young,neutral,,,YES. the authors didn't provide biomass increment with neighbor but they sended by e-amil,YES,YES,-0.61,1.00,0.82,0.39,4,3,0.41,0.23,2.8381,16.823,4,0.3,0.6
6,"Forey E, Touzard B, Michalet R, 2010",6.37,France,,,,temperate,temperate oceanic,875 (average year),772,,7.7,5353,whitedune,2,experimental,biomass (total),growth,,,,grass,herb,non-wood,Ammophila arenaria,grass,grass,herb,non-wood,Elymus farctus,"""young""",young,positive,,,YES. the authors didn't provide biomass increment with neighbor but they sended by e-amil,YES,YES,-0.12,1.05,0.77,0.66,7,15,0.29,0.17,2.5391,8.5088,11,0.794216251560364,1.58843250312073
6,"Forey E, Touzard B, Michalet R, 2010",6.38,France,,,,temperate,temperate oceanic,875 (average year),772,,7.7,5353,whitedune,2,experimental,biomass (total),growth,,,,grass,herb,non-wood,Ammophila arenaria,grass,grass,herb,non-wood,Ammophila arenaria,"""young""",young,neutral,,,YES. the authors didn't provide biomass increment with neighbor but they sended by e-amil,YES,YES,-1.13,0.38,0.75,0.34,9,12,0.25,0.10,2.7813,6.2549,10,0.928193544552101,1.8563870891042
6,"Forey E, Touzard B, Michalet R, 2010",6.39000000000001,France,,,,temperate,temperate oceanic,875 (average year),772,,7.7,5353,whitedune,2,experimental,biomass (total),growth,,,,grass,herb,non-wood,Ammophila arenaria,forb,forb,herb,non-wood,Helichrysum stoechas,"""young""",young,positive,,,YES. the authors didn't provide biomass increment with neighbor but they sended by e-amil,YES,YES,1.65,1.70,1.74,0.40,5,7,0.78,0.15,0.0299,0.2303,6,1.28631040836949,2.57262081673899
6,"Forey E, Touzard B, Michalet R, 2010",6.40,France,,,,temperate,temperate oceanic,875 (average year),772,,7.7,5353,whitedune,2,experimental,biomass (total),growth,,,,grass,herb,non-wood,Ammophila arenaria,grass,grass,herb,non-wood,Corynephorus canescens,"""young""",young,neutral,,,YES. the authors didn't provide biomass increment with neighbor but they sended by e-amil,YES,YES,1.5,1.01,1.94,0.58,3,5,1.12,0.26,-0.3955,0.6235,4,1.26293764489092,2.52587528978185
6,"Forey E, Touzard B, Michalet R, 2010",6.41000000000001,France,,,,temperate,temperate oceanic,875 (average year),772,,7.7,5353,transition dune,2,experimental,biomass (total),growth,,,,forb,herb,non-wood,Helichrysum stoechas,grass,grass,herb,non-wood,Elymus farctus,"""young""",young,neutral,,,YES. the authors didn't provide biomass increment with neighbor but they sended by e-amil,YES,YES,0.57,0.67,1.29,0.56,9,13,0.43,0.15,0.1616,0.6228,11,1.26297925459193,2.52595850918386
6,"Forey E, Touzard B, Michalet R, 2010",6.42,France,,,,temperate,temperate oceanic,875 (average year),772,,7.7,5353,transition dune,2,experimental,biomass (total),growth,,,,forb,herb,non-wood,Helichrysum stoechas,grass,grass,herb,non-wood,Ammophila arenaria,"""young""",young,neutral,,,YES. the authors didn't provide biomass increment with neighbor but they sended by e-amil,YES,YES,-1.38,0.32,0.76,0.34,8,8,0.27,0.12,2.8896,7.2245,8,0.870558164417761,1.74111632883552
6,"Forey E, Touzard B, Michalet R, 2010",6.43000000000001,France,,,,temperate,temperate oceanic,875 (average year),772,,7.7,5353,transition dune,2,experimental,biomass (total),growth,,,,forb,herb,non-wood,Helichrysum stoechas,forb,forb,herb,non-wood,Helichrysum stoechas,"""young""",young,neutral,,,YES. the authors didn't provide biomass increment with neighbor but they sended by e-amil,YES,YES,0.39,0.71,1.36,1.08,15,10,0.35,0.34,0.5991,1.0421,12,1.23805504369019,2.47611008738037
6,"Forey E, Touzard B, Michalet R, 2010",6.44,France,,,,temperate,temperate oceanic,875 (average year),772,,7.7,5353,transition dune,2,experimental,biomass (total),growth,,,,forb,herb,non-wood,Helichrysum stoechas,grass,grass,herb,non-wood,Corynephorus canescens,"""young""",young,neutral,,,YES. the authors didn't provide biomass increment with neighbor but they sended by e-amil,YES,YES,0.97,1.31,0.97,2.08,14,12,0.26,0.60,0.3005,0.2815,13,1.28326695595316,2.56653391190632
6,"Forey E, Touzard B, Michalet R, 2010",6.45000000000001,France,,,,temperate,temperate oceanic,875 (average year),772,,7.7,5353,grey dune,2,experimental,biomass (total),growth,,,,grass,herb,non-wood,Corynephorus canescens,grass,grass,herb,non-wood,Elymus farctus,"""young""",young,positive,,,YES. the authors didn't provide biomass increment with neighbor but they sended by e-amil,YES,YES,0.82,1.59,0.79,3.45,8,13,0.28,0.96,0.6622,0.4782,10,1.27157462997087,2.54314925994175
6,"Forey E, Touzard B, Michalet R, 2010",6.46,France,,,,temperate,temperate oceanic,875 (average year),772,,7.7,5353,grey dune,2,experimental,biomass (total),growth,,,,grass,herb,non-wood,Corynephorus canescens,grass,grass,herb,non-wood,Ammophila arenaria,"""young""",young,positive,,,YES. the authors didn't provide biomass increment with neighbor but they sended by e-amil,YES,YES,-1.04,0.55,0.62,0.30,12,10,0.18,0.10,2.825,3.206,11,1.10942756939904,2.21885513879807
