,,,,,,,,,,,Control,,,,Treatment,,,,Experiment details,,,
ID,Citation,Continent,Climatic region,Country,Site,Measuring date,Treatment Type,Treatment scale,Response Variable,Source,Mean. Control,SE.Control,n.Control,SD.Control,Mean. Treatment,SE.Treatment,n.Treatment,SD.Treatment,Community type,Experimental method,,
1,Adair et al. (2009),North America,Humid Continental,USA,Cedar Creek Minesota,2006,CO2,Global,Soil respiration,Table,809.09,12.12,6,29.69,953.62,12.56,6,30.77,Constructed grassland,,,
1,Adair et al. (2009),North America,Humid Continental,USA,Cedar Creek Minesota,2006,CO2xFert,GlobalxLocal,Soil respiration,Table,809.09,12.12,6,29.69,1005.17,15.99,6,39.17,Constructed grassland,,,
1,Adair et al. (2009),North America,Humid Continental,USA,Cedar Creek Minesota,2006,Fert,Local,Soil respiration,Table,809.09,12.12,6,29.69,818.16,14.30,6,35.03,Constructed grassland,,,
2,Alhamad et al. (2012),Asia,Dry,Jordan,Jordan University of Science and Technology,2008,Fire,Local,Shoot Biomass,Table,31.90,2.00,5,4.47,43.90,2.00,5,4.47,Natural grassland,,,
2,Alhamad et al. (2012),Asia,Dry,Jordan,Jordan University of Science and Technology,2008,FertxFire,LocalxLocal,Shoot Biomass,Table,31.90,2.00,5,4.47,60.90,2.00,5,4.47,Natural grassland,,,
2,Alhamad et al. (2012),Asia,Dry,Jordan,Jordan University of Science and Technology,2008,Fire,Local,Shoot Biomass,Table,31.90,2.00,5,4.47,43.90,2.00,5,4.47,Natural grassland,,,
2,Alhamad et al. (2012),Asia,Dry,Jordan,Jordan University of Science and Technology,2008,FertxFire,LocalxLocal,Shoot Biomass,Table,31.90,2.00,5,4.47,60.90,2.00,5,4.47,Natural grassland,,,
3,Andresen et al. (2009),Europe,Oceanic,Denmark,Brandbjerg - 50Km NW Copenhagen,2006,CO2,Global,Micr. Biom. C,Table,6109.00,1065.00,6,2608.71,5635.00,1004.00,6,2459.29,Natural grassland,FACE experiment,,
3,Andresen et al. (2009),Europe,Oceanic,Denmark,Brandbjerg - 50Km NW Copenhagen,2006,Drought,Global,Micr. Biom. C,Table,6109.00,1065.00,6,2608.71,6009.00,480.00,6,1175.76,Natural grassland,Rainout Shelters,,
3,Andresen et al. (2009),Europe,Oceanic,Denmark,Brandbjerg - 50Km NW Copenhagen,2006,Warming,Global,Micr. Biom. C,Table,6109.00,1065.00,6,2608.71,5210.00,696.00,6,1704.84,Natural grassland,Passive night warming,,
3,Andresen et al. (2009),Europe,Oceanic,Denmark,Brandbjerg - 50Km NW Copenhagen,2006,CO2xWarmingxDrought,GlobalxGlobal,Micr. Biom. C,Table,6109.00,1065.00,6,2608.71,4944.00,499.00,6,1222.30,Natural grassland,FACE + rainout Shelter + passive night warming,,
3,Andresen et al. (2009),Europe,Oceanic,Denmark,Brandbjerg - 50Km NW Copenhagen,2006,CO2xDrought,GlobalxGlobal,Micr. Biom. C,Table,6109.00,1065.00,6,2608.71,4198.00,674.00,6,1650.96,Natural grassland,FACE + rainout Shelter,,
3,Andresen et al. (2009),Europe,Oceanic,Denmark,Brandbjerg - 50Km NW Copenhagen,2006,CO2xWarming,GlobalxGlobal,Micr. Biom. C,Table,6109.00,1065.00,6,2608.71,6340.00,771.00,6,1888.56,Natural grassland,FACE + passive night warming,,
3,Andresen et al. (2009),Europe,Oceanic,Denmark,Brandbjerg - 50Km NW Copenhagen,2006,DroughtxWarming,GlobalxGlobal,Micr. Biom. C,Table,6109.00,1065.00,6,2608.71,6435.00,658.00,6,1611.76,Natural grassland,Passive night warming,,
3,Andresen et al. (2009),Europe,Oceanic,Denmark,Brandbjerg - 50Km NW Copenhagen,2006,CO2,Global,Micr. Biom. N,Table,675.00,186.00,6,455.61,1084.00,236.00,6,578.08,Natural grassland,FACE experiment,,
3,Andresen et al. (2009),Europe,Oceanic,Denmark,Brandbjerg - 50Km NW Copenhagen,2006,Drought,Global,Micr. Biom. N,Table,675.00,186.00,6,455.61,842.00,66.00,6,161.67,Natural grassland,Rainout Shelters,,
3,Andresen et al. (2009),Europe,Oceanic,Denmark,Brandbjerg - 50Km NW Copenhagen,2006,Warming,Global,Micr. Biom. N,Table,675.00,186.00,6,455.61,1147.00,402.00,6,984.69,Natural grassland,Passive night warming,,
3,Andresen et al. (2009),Europe,Oceanic,Denmark,Brandbjerg - 50Km NW Copenhagen,2006,CO2xWarmingxDrought,GlobalxGlobal,Micr. Biom. N,Table,675.00,186.00,6,455.61,1085.00,263.00,6,644.22,Natural grassland,FACE + rainout Shelter + passive night warming,,
3,Andresen et al. (2009),Europe,Oceanic,Denmark,Brandbjerg - 50Km NW Copenhagen,2006,CO2xDrought,GlobalxGlobal,Micr. Biom. N,Table,675.00,186.00,6,455.61,950.00,169.00,6,413.96,Natural grassland,FACE + rainout Shelter,,
3,Andresen et al. (2009),Europe,Oceanic,Denmark,Brandbjerg - 50Km NW Copenhagen,2006,CO2xWarming,GlobalxGlobal,Micr. Biom. N,Table,675.00,186.00,6,455.61,896.00,92.00,6,225.35,Natural grassland,FACE + passive night warming,,
3,Andresen et al. (2009),Europe,Oceanic,Denmark,Brandbjerg - 50Km NW Copenhagen,2006,DroughtxWarming,GlobalxGlobal,Micr. Biom. N,Table,675.00,186.00,6,455.61,844.00,162.00,6,396.82,Natural grassland,Passive night warming,,
4,Bloor et al. (2010),Europe,Oceanic,France,Theix (massif Central),2007,Warming,Global,Shoot Biomass,Figure,103.50,2.80,5,6.26,145.50,8.40,5,18.78,Constructed grassland,Transplantation,,
4,Bloor et al. (2010),Europe,Oceanic,France,Theix (massif Central),2007,Warming,Global,Shoot Biomass,Figure,430.80,33.60,5,75.13,290.90,36.40,5,81.39,Constructed grassland,Transplantation,,
4,Bloor et al. (2010),Europe,Oceanic,France,Theix (massif Central),2007,CO2xWarmingxDrought,GlobalxGlobal,Shoot Biomass,Figure,103.50,2.80,5,6.26,167.80,11.20,5,25.04,Constructed grassland,Transpl. + Shelter + FACE,,
4,Bloor et al. (2010),Europe,Oceanic,France,Theix (massif Central),2007,CO2xWarmingxDrought,GlobalxGlobal,Shoot Biomass,Figure,430.80,33.60,5,75.13,296.50,44.80,5,100.18,Constructed grassland,Transpl. + Shelter + FACE,,
4,Bloor et al. (2010),Europe,Oceanic,France,Theix (massif Central),2007,DroughtxWarming,GlobalxGlobal,Shoot Biomass,Figure,103.50,2.80,5,6.26,156.60,22.40,5,50.09,Constructed grassland,Transpl. + Rainout Shelter,,
4,Bloor et al. (2010),Europe,Oceanic,France,Theix (massif Central),2007,DroughtxWarming,GlobalxGlobal,Shoot Biomass,Figure,430.80,33.60,5,75.13,271.30,33.60,5,75.13,Constructed grassland,Transpl. + Rainout Shelter,,
5,Bonanomi et al. (2006),Europe,Mediterranean,Italy,Fabriano,2005,Fert,Local,Shoot Biomass,Figure,336.30,21.70,4,43.40,622.20,112.90,4,225.80,Natural grassland,,,
5,Bonanomi et al. (2006),Europe,Mediterranean,Italy,Fabriano,2005,Mowing,Local,Shoot Biomass,Figure,336.30,21.70,4,43.40,211.40,33.70,4,67.40,Natural grassland,,,
5,Bonanomi et al. (2006),Europe,Mediterranean,Italy,Fabriano,2005,FertxMowing,LocalxLocal,Shoot Biomass,Figure,336.30,21.70,4,43.40,307.50,36.00,4,72.00,Natural grassland,,,
6,Carilla et al. (2011),South America,Humid Subtropical,Argentina,Los Toldos,2003,Abandon,Local,Shoot Biomass,Figure,686.43,90.08,5,201.43,624.57,74.07,5,165.63,Natural grassland,Exclosure,,
6,Carilla et al. (2011),South America,Humid Subtropical,Argentina,Los Toldos,2003,Fire,Local,Shoot Biomass,Figure,686.43,90.08,5,201.43,289.64,61.23,5,136.91,Natural grassland,Exclosure,,
6,Carilla et al. (2011),South America,Humid Subtropical,Argentina,Los Toldos,2003,AbandonxFire,LocalxLocal,Shoot Biomass,Figure,686.43,90.08,5,201.43,369.15,80.57,5,180.16,Natural grassland,Exclosure,,
6,Carilla et al. (2011),South America,Humid Subtropical,Argentina,Los Toldos,2003,Fire,Local,Shoot Biomass,Figure,686.43,90.08,5,201.43,289.64,61.23,5,136.91,Natural grassland,Exclosure,,
6,Carilla et al. (2011),South America,Humid Subtropical,Argentina,Los Toldos,2003,AbandonxFire,LocalxLocal,Shoot Biomass,Figure,686.43,90.08,5,201.43,369.15,80.57,5,180.16,Natural grassland,Exclosure,,
7,de Sassi & Tylianakis (2012),Oceania,Oceanic,New Zealand,Canterbury,2010,Warming,Global,Shoot Biomass,Figure,100.00,12.39,4,24.78,137.82,20.51,4,41.02,Constructed grassland,Heating cables,,
7,de Sassi & Tylianakis (2012),Oceania,Oceanic,New Zealand,Canterbury,2010,FertxWarming,GlobalxLocal,Shoot Biomass,Figure,100.00,12.39,4,24.78,160.32,15.48,4,30.96,Constructed grassland,Heating cables,,
7,de Sassi & Tylianakis (2012),Oceania,Oceanic,New Zealand,Canterbury,2010,Fert,Local,Shoot Biomass,Figure,100.00,12.39,4,24.78,164.16,25.54,4,51.08,Constructed grassland,Heating cables,,
8,Dijkstra et al. (2010),North America,Dry,USA,High Plains Grasslands Research Station,2008,CO2,Global,Micr. Biom. N,Table,6.20,0.50,5,1.12,8.10,0.90,5,2.01,Natural grassland,FACE experiment,,
8,Dijkstra et al. (2010),North America,Dry,USA,High Plains Grasslands Research Station,2008,Warming,Global,Micr. Biom. N,Table,6.20,0.50,5,1.12,6.80,0.60,5,1.34,Natural grassland,FACE experiment,,
8,Dijkstra et al. (2010),North America,Dry,USA,High Plains Grasslands Research Station,2008,CO2xWarming,GlobalxGlobal,Micr. Biom. N,Table,6.20,0.50,5,1.12,7.80,0.80,5,1.79,Natural grassland,FACE experiment,,
