study,Ee,Ne,Ec,Nc
1,1,23,30,10,30
2,2,69,123,54,116
3,3,79,102,45,102
4,4,35,49,13,42
5,5,10,15,2,15
6,6,23,50,13,50
7,7,20,32,9,24
8,8,35,50,40,50
9,9,56,84,33,84
10,10,28,40,16,40
11,11,10,23,3,24
12,12,44,92,40,89
13,13,21,50,19,50
14,14,17,20,3,20
15,15,34,42,11,40
16,16,25,30,13,30
17,17,38,60,27,60
18,18,85,118,46,113
19,19,53,64,52,66
20,20,16,20,6,20
21,21,18,30,5,30
22,22,6,12,0,12
23,23,26,32,13,28
24,24,41,84,33,84
25,25,33,46,13,42
26,26,30,38,22,36
27,27,18,20,13,22
28,28,22,26,14,26
29,29,18,21,13,22
30,30,39,51,9,47
31,31,30,30,19,30
32,32,11,13,0,12
33,33,44,90,40,89
34,34,67,83,38,86
35,35,24,29,14,27
36,36,7,10,1,10
37,37,21,25,12,25
