Date,z,Temp,density,Colony Diameter,Species,
6/5/10,0.5,15.2,76,3.22,cuni,
6/5/10,0.5,15.2,62,3.08,cuni,
6/5/10,0.5,15.2,54,2.94,cuni,
6/5/10,5,13.7,Missing,Missing,cuni,
6/5/10,5,13.7,59,3.03,cuni,
6/5/10,5,13.7,19,3.33,cuni,
6/5/10,10,12.4,78,2.58,cuni,
6/5/10,10,12.4,47,2.56,cuni,
6/5/10,10,12.4,56,3.36,cuni,
6/5/10,25,11.2,74,2.65,cuni,
6/5/10,25,11.2,50,3.44,cuni,
6/5/10,25,11.2,64,2.78,cuni,
6/5/10,50,7.9,36,3.16,cuni,
6/5/10,50,7.9,19,2.14,cuni,
6/5/10,50,7.9,42,2.53,cuni,
6/18/10,0.5,16.2,75,3.52,cuni,
6/18/10,0.5,16.2,70,3.23,cuni,
6/18/10,0.5,16.2,40,3.28,cuni,
6/18/10,5,14,71,3.2,cuni,
6/18/10,5,14,88,3.52,cuni,
6/18/10,5,14,22,3.15,cuni,
6/18/10,10,13.2,96,2.94,cuni,
6/18/10,10,13.2,23,3.66,cuni,
6/18/10,10,13.2,89,3.56,cuni,
6/18/10,25,7.4,79,2.92,cuni,
6/18/10,25,7.4,58,2.96,cuni,
6/18/10,25,7.4,54,3.53,cuni,
6/18/10,50,Missing,47,3.38,cuni,
6/18/10,50,Missing,37,2.92,cuni,
6/18/10,50,Missing,7,3.55,cuni,
6/5/10,0.5,15.2,70,3.46,chippo,
6/5/10,0.5,15.2,68,3.28,chippo,
6/5/10,0.5,15.2,57,3.01,chippo,
6/5/10,5,13.7,Missing,Missing,chippo,
6/5/10,5,13.7,70,3.71,chippo,
6/5/10,5,13.7,37,3.9,chippo,
6/5/10,10,12.4,52,3.75,chippo,
6/5/10,10,12.4,56,3.99,chippo,
6/5/10,10,12.4,62,3.53,chippo,
6/5/10,25,11.2,35,3.62,chippo,
6/5/10,25,11.2,54,3.96,chippo,
6/5/10,25,11.2,61,4.02,chippo,
6/5/10,50,7.9,40,3.89,chippo,
6/5/10,50,7.9,28,4.3,chippo,
6/5/10,50,7.9,45,3.32,chippo,
6/18/10,0.5,16.2,60,3.49,chippo,
6/18/10,0.5,16.2,75,4,chippo,
6/18/10,0.5,16.2,54,3.52,chippo,
6/18/10,5,14,55,4.05,chippo,
6/18/10,5,14,78,3.6,chippo,
6/18/10,5,14,45,3.52,chippo,
6/18/10,10,13.2,35,3.65,chippo,
6/18/10,10,13.2,44,3.65,chippo,
6/18/10,10,13.2,78,3.66,chippo,
6/18/10,25,7.4,72,4.06,chippo,
6/18/10,25,7.4,69,3.73,chippo,
6/18/10,25,7.4,64,4.13,chippo,
6/18/10,50,Missing,37,3.87,chippo,
6/18/10,50,Missing,27,3.57,chippo,
6/18/10,50,Missing,38,3.95,chippo,
